msg_type msg_id ts ver gen bs_id rnti tmsi imsi imei cipher_alg int_alg est_cause msg rrc_state nas_state sec_state emm_cause rrc_init_timer rrc_inactive_timer nas_initial_timer nas_inactive_timer Attackornot
UE 0 1715198865.5169463 v2.0 SECSM 0 16570 1999998 0 0 0 0 3 RRCSetupRequest 0 0 0 0 0.0 0 0.0 0.0 Benign
UE 1 1715198865.517394 v2.0 SECSM 0 16570 1999998 0 0 0 0 3 RRCSetup 2 0 0 0 1715198865.517394 0 0.0 0.0 Benign
UE 2 1715198865.5500033 v2.0 SECSM 0 16570 1999998 2089900007487 0 0 0 3 RRCSetupComplete 2 0 0 0 1715198865.517394 0 0.0 0.0 Benign
UE 3 1715198865.5500033 v2.0 SECSM 0 16570 1999998 2089900007487 0 0 0 3 Registrationrequest 2 1 0 0 1715198865.517394 0 1715198865.5500033 0.0 Benign
UE 4 1715198865.5585601 v2.0 SECSM 0 16570 1999998 2089900007487 0 0 0 3 Authenticationrequest 2 1 0 0 1715198865.517394 0 1715198865.5500033 0.0 Benign
UE 5 1715198865.579994 v2.0 SECSM 0 16570 1999998 2089900007487 0 0 0 3 Authenticationresponse 2 1 0 0 1715198865.517394 0 1715198865.5500033 0.0 Benign
UE 6 1715198865.583388 v2.0 SECSM 0 16570 1999998 2089900007487 0 0 0 3 Securitymodecommand 2 1 0 0 1715198865.517394 0 1715198865.5500033 0.0 Benign
UE 7 1715198865.6049876 v2.0 SECSM 0 16570 1999998 2089900007487 0 0 0 3 Securitymodecomplete 2 1 1 0 1715198865.517394 0 1715198865.5500033 0.0 Benign
UE 8 1715198865.608814 v2.0 SECSM 0 16570 1999998 2089900007487 0 2 2 3 SecurityModeCommand 2 1 1 0 1715198865.517394 0 1715198865.5500033 0.0 Benign
UE 9 1715198865.8120077 v2.0 SECSM 0 16570 1999998 2089900007487 0 2 2 3 SecurityModeComplete 2 1 1 0 1715198865.517394 0 1715198865.5500033 0.0 Benign
UE 0 1715198983.9773052 v2.0 SECSM 0 40822 0 0 0 0 0 3 RRCSetupRequest 0 0 0 0 0.0 0 0.0 0.0 Benign
UE 1 1715198983.977775 v2.0 SECSM 0 40822 0 0 0 0 0 3 RRCSetup 2 0 0 0 1715198983.977775 0 0.0 0.0 Benign
UE 2 1715198984.0166364 v2.0 SECSM 0 40822 0 2089900007487 0 0 0 3 RRCSetupComplete 2 0 0 0 1715198983.977775 0 0.0 0.0 Benign
UE 3 1715198984.0166364 v2.0 SECSM 0 40822 0 2089900007487 0 0 0 3 Registrationrequest 2 1 0 0 1715198983.977775 0 1715198984.0166364 0.0 Benign
UE 4 1715198984.0246527 v2.0 SECSM 0 40822 0 2089900007487 0 0 0 3 Authenticationrequest 2 1 0 0 1715198983.977775 0 1715198984.0166364 0.0 Benign
UE 5 1715198984.045317 v2.0 SECSM 0 40822 0 2089900007487 0 0 0 3 Authenticationresponse 2 1 0 0 1715198983.977775 0 1715198984.0166364 0.0 Benign
UE 6 1715198984.0481374 v2.0 SECSM 0 40822 0 2089900007487 0 0 0 3 Securitymodecommand 2 1 0 0 1715198983.977775 0 1715198984.0166364 0.0 Benign
UE 7 1715198984.070279 v2.0 SECSM 0 40822 0 2089900007487 0 0 0 3 Securitymodecomplete 2 1 1 0 1715198983.977775 0 1715198984.0166364 0.0 Benign
UE 8 1715198984.073592 v2.0 SECSM 0 40822 0 2089900007487 0 2 2 3 SecurityModeCommand 2 1 1 0 1715198983.977775 0 1715198984.0166364 0.0 Benign
UE 9 1715198984.2759128 v2.0 SECSM 0 40822 0 2089900007487 0 2 2 3 SecurityModeComplete 2 1 1 0 1715198983.977775 0 1715198984.0166364 0.0 Benign
UE 10 1715199014.5770755 v2.0 SECSM 0 62238 0 0 0 0 0 3 RRCSetupRequest 0 0 0 0 0.0 0 0.0 0.0 Benign
UE 11 1715199014.5774968 v2.0 SECSM 0 62238 0 0 0 0 0 3 RRCSetup 2 0 0 0 1715199014.5774968 0 0.0 0.0 Benign
UE 12 1715199014.6104577 v2.0 SECSM 0 62238 0 2089900007488 0 0 0 3 RRCSetupComplete 2 0 0 0 1715199014.5774968 0 0.0 0.0 Benign
UE 13 1715199014.6104577 v2.0 SECSM 0 62238 0 2089900007488 0 0 0 3 Registrationrequest 2 1 0 0 1715199014.5774968 0 1715199014.6104577 0.0 Benign
UE 14 1715199014.6184254 v2.0 SECSM 0 62238 0 2089900007488 0 0 0 3 Authenticationrequest 2 1 0 0 1715199014.5774968 0 1715199014.6104577 0.0 Benign
UE 15 1715199014.646697 v2.0 SECSM 0 62238 0 2089900007488 0 0 0 3 Authenticationresponse 2 1 0 0 1715199014.5774968 0 1715199014.6104577 0.0 Benign
UE 16 1715199014.6498744 v2.0 SECSM 0 62238 0 2089900007488 0 0 0 3 Securitymodecommand 2 1 0 0 1715199014.5774968 0 1715199014.6104577 0.0 Benign
UE 17 1715199014.6764293 v2.0 SECSM 0 62238 0 2089900007488 0 0 0 3 Securitymodecomplete 2 1 1 0 1715199014.5774968 0 1715199014.6104577 0.0 Benign
UE 18 1715199014.6801105 v2.0 SECSM 0 62238 0 2089900007488 0 2 2 3 SecurityModeCommand 2 1 1 0 1715199014.5774968 0 1715199014.6104577 0.0 Benign
UE 19 1715199014.88395 v2.0 SECSM 0 62238 0 2089900007488 0 2 2 3 SecurityModeComplete 2 1 1 0 1715199014.5774968 0 1715199014.6104577 0.0 Benign
UE 0 1717774529.72678 v2.0 SECSM 0 46811 0 0 0 0 0 3 RRCSetupRequest 0 0 0 0 0.0 0 0.0 0.0 Benign
UE 1 1717774529.7270706 v2.0 SECSM 0 46811 0 0 0 0 0 3 RRCSetup 2 0 0 0 1717774529.7270706 0 0.0 0.0 Benign
UE 2 1717774529.7605228 v2.0 SECSM 0 46811 0 2089900007487 0 0 0 3 RRCSetupComplete 2 0 0 0 1717774529.7270706 0 0.0 0.0 Benign
UE 3 1717774529.7605228 v2.0 SECSM 0 46811 0 2089900007487 0 0 0 3 Registrationrequest 2 1 0 0 1717774529.7270706 0 1717774529.7605228 0.0 Benign
UE 4 1717774529.8538465 v2.0 SECSM 0 46811 0 2089900007487 0 0 0 3 Authenticationrequest 2 1 0 0 1717774529.7270706 0 1717774529.7605228 0.0 Benign
UE 5 1717774529.8704755 v2.0 SECSM 0 46811 0 2089900007487 0 0 0 3 Authenticationresponse 2 1 0 0 1717774529.7270706 0 1717774529.7605228 0.0 Benign
UE 6 1717774529.873629 v2.0 SECSM 0 46811 0 2089900007487 0 0 0 3 Securitymodecommand 2 1 0 0 1717774529.7270706 0 1717774529.7605228 0.0 Benign
UE 7 1717774529.8955028 v2.0 SECSM 0 46811 0 2089900007487 0 0 0 3 Securitymodecomplete 2 1 1 0 1717774529.7270706 0 1717774529.7605228 0.0 Benign
UE 8 1717774529.8993628 v2.0 SECSM 0 46811 0 2089900007487 0 2 2 3 SecurityModeCommand 2 1 1 0 1717774529.7270706 0 1717774529.7605228 0.0 Benign
UE 9 1717774530.1028168 v2.0 SECSM 0 46811 0 2089900007487 0 2 2 3 SecurityModeComplete 2 1 1 0 1717774529.7270706 0 1717774529.7605228 0.0 Benign
