rnti ts msg Attackornot
0 0.2950613498687744 "RRCSetupRequest, RRCSetup, RRCSetupComplete, Registrationrequest, Authenticationrequest, Authenticationresponse, Securitymodecommand, Securitymodecomplete, SecurityModeCommand, SecurityModeComplete" Benign
1 0.29860758781433105 "RRCSetupRequest, RRCSetup, RRCSetupComplete, Registrationrequest, Authenticationrequest, Authenticationresponse, Securitymodecommand, Securitymodecomplete, SecurityModeCommand, SecurityModeComplete" Benign
2 0.30687451362609863 "RRCSetupRequest, RRCSetup, RRCSetupComplete, Registrationrequest, Authenticationrequest, Authenticationresponse, Securitymodecommand, Securitymodecomplete, SecurityModeCommand, SecurityModeComplete" Benign
3 0.3760368824005127 "RRCSetupRequest, RRCSetup, RRCSetupComplete, Registrationrequest, Authenticationrequest, Authenticationresponse, Securitymodecommand, Securitymodecomplete, SecurityModeCommand, SecurityModeComplete" Benign
4 0.41629862785339355 "RRCSetupRequest, RRCSetup, RRCSetupComplete, Registrationrequest, Authenticationrequest, Authenticationresponse, Securitymodecommand, Securitymodecomplete, SecurityModeCommand, SecurityModeComplete" Benign
5 0.364194393157959 "RRCSetupRequest, RRCSetup, RRCSetupComplete, Registrationrequest, Authenticationrequest, Authenticationresponse, Securitymodecommand, Securitymodecomplete, SecurityModeCommand, SecurityModeComplete" Benign
6 0.35615015029907227 "RRCSetupRequest, RRCSetup, RRCSetupComplete, Registrationrequest, Authenticationrequest, Authenticationresponse, Securitymodecommand, Securitymodecomplete, SecurityModeCommand, SecurityModeComplete" Benign
7 0.356109619140625 "RRCSetupRequest, RRCSetup, RRCSetupComplete, Registrationrequest, Authenticationrequest, Authenticationresponse, Securitymodecommand, Securitymodecomplete, SecurityModeCommand, SecurityModeComplete" Benign
8 0.3559603691101074 "RRCSetupRequest, RRCSetup, RRCSetupComplete, Registrationrequest, Authenticationrequest, Authenticationresponse, Securitymodecommand, Securitymodecomplete, SecurityModeCommand, SecurityModeComplete" Benign
9 0.36791443824768066 "RRCSetupRequest, RRCSetup, RRCSetupComplete, Registrationrequest, Authenticationrequest, Authenticationresponse, Securitymodecommand, Securitymodecomplete, SecurityModeCommand, SecurityModeComplete" Benign
10 0.43186521530151367 "RRCSetupRequest, RRCSetup, RRCSetupComplete, Registrationrequest, Authenticationrequest, Authenticationresponse, Securitymodecommand, Securitymodecomplete, SecurityModeCommand, SecurityModeComplete" Benign
11 0.37175869941711426 "RRCSetupRequest, RRCSetup, RRCSetupComplete, Registrationrequest, Authenticationrequest, Authenticationresponse, Securitymodecommand, Securitymodecomplete, SecurityModeCommand, SecurityModeComplete" Benign
12 0.4197523593902588 "RRCSetupRequest, RRCSetup, RRCSetupComplete, Registrationrequest, Authenticationrequest, Authenticationresponse, Securitymodecommand, Securitymodecomplete, SecurityModeCommand, SecurityModeComplete" Benign
13 0.06140708923339844 "RRCSetupRequest, RRCSetup, RRCSetupComplete, Registrationrequest, Authenticationrequest, Authenticationresponse, Registrationreject" Benign
14 0.5630888938903809 "RRCSetupRequest, RRCSetup, RRCSetupComplete, Registrationrequest, Authenticationrequest, Authenticationresponse, Securitymodecommand" Benign
